ligue,titre,date,heure,cote,choix,equipe,resultat,score,status
L1 Uber Eats,monaco-le havre,16/08,18h55,1.27,1,monaco,1,3-1,done
L1 Uber Eats,nantes-paris s-g,17/08,20h40,1.27,2,paris s-g,,,pending
Premier League,liverpool-bournemouth,15/08,20h55,1.26,1,liverpool,1,4-2,done
Premier League,tottenham-burnley,16/08,15h55,1.3,1,tottenham,1,3-0,done
LaLiga,real madrid-osasuna,19/08,20h55,1.21,1,real madrid,,,pending
Serie A,milan-us cremonese,23/08,20h40,1.28,1,milan,,,pending
Serie A,atalanta-pisa,24/08,20h40,1.3,1,atalanta,,,pending
Serie A,inter-torino,25/08,20h40,1.33,1,inter,,,pending
Bundesliga 1,bayern munich-rb leipzig,22/08,20h25,1.16,1,bayern munich,,,pending
Premier League,wolves-manchester city,16/08,18h25,1.36,2,manchester city,2,0-4,done
LaLiga,villarreal-roviedo,15/08,21h25,1.36,1,villarreal,,,pending
Serie A,juventus-parma,24/08,20h40,1.36,1,juventus,,,pending
Bundesliga 1,leverkusen-hoffenheim,23/08,15h25,1.37,1,leverkusen,,,pending
Serie A,sassuolo-napoli,23/08,18h25,1.42,2,napoli,,,pending
Liga Portugal,porto-vitória,11/08,21h40,1.44,1,porto,1,3-0,done
Premier League,chelsea-crystal palace,17/08,14h55,1.5,1,chelsea,,,pending
LaLiga,mallorca-barcelona,16/08,19h25,1.5,2,barcelona,2,0-3,done
LaLiga,espanyol-atlético madrid,17/08,21h25,1.46,2,atlético madrid,,,pending
LaLiga,celta vigo-getafe,17/08,16h55,1.58,1,celta vigo,,,pending
LaLiga,athletic club-sevilla,17/08,19h25,1.58,1,athletic club,,,pending
Bundesliga 1,st. pauli-dortmund,23/08,18h25,1.6,2,dortmund,,,pending
Bundesliga 1,freiburg-augsburg,23/08,15h25,1.63,1,freiburg,,,pending
Liga Portugal,estoril-estrela,11/08,19h40,1.7,1,estoril,X,1-1,done
Bundesliga 1,eint frankfurt-werder bremen,23/08,15h25,1.7,1,eint frankfurt,,,pending
Bundesliga 1,mainz 05-köln,24/08,15h25,1.71,1,mainz 05,,,pending
Premier League,brighton-fulham,16/08,15h55,1.8,1,brighton,X,1-1,done
Liga Portugal,vitória-estoril,16/08,18h55,1.49,1,vitória,1,3-2,done
L1 Uber Eats,journée 1 (9 matchs),15/08,20h39,1.15,2,,,,pending
Liga Portugal,sporting cp-arouca,17/08,21h25,1.22,1,sporting cp,,,pending
Liga Portugal,gil vicente fc-porto,18/08,21h10,1.42,2,porto,,,pending
Liga Portugal,alverca-braga,17/08,18h55,1.53,2,braga,,,pending
Liga Portugal,santa clara-moreirense,17/08,18h55,1.74,1,santa clara,,,pending
Bundesliga 1,gladbach- hamburger sv,24/08,17h25,1.74,1,gladbach,,,pending
Premier League,arsenal-leeds united,23/08,18h25,1.21,1,arsenal,,,pending
LaLiga,atlético madrid-elche,23/08,19h25,1.19,1,atlético madrid,,,pending
LaLiga,levante-barcelona,23/08,21h25,1.23,2,barcelona,,,pending
LaLiga,roviedo-real madrid,24/08,21h25,1.27,2,real madrid,,,pending
L1 Uber Eats,marseille-paris fc,23/08,16h55,1.38,1,marseille,,,pending
Premier League,manchester city-tottenham,23/08,13h25,1.36,1,manchester city,,,pending
L1 Uber Eats,lyon-metz,23/08,21h00,1.47,1,lyon,,,pending
LaLiga,villarreal-girona,24/08,19h25,1.48,1,villarreal,,,pending
L1 Uber Eats,nice-auxerre,23/08,18h55,1.58,1,nice,,,pending
Premier League,west ham-chelsea,22/08,20h55,1.63,2,chelsea,,,pending
LaLiga,athletic club-rayo vallecano,25/08,19h25,1.62,1,athletic club,,,pending
Premier League,bournemouth-wolves,23/08,15h55,1.67,1,bournemouth,,,pending
LaLiga,betis-alavés,22/08,21h25,1.7,1,betis,,,pending
LaLiga,real sociedad-espanyol,24/08,19h25,1.66,1,real sociedad,,,pending
L1 Uber Eats,strasbourg-nantes,24/08,17h10,1.79,1,strasbourg,,,pending
Liga Portugal,nacional-sporting cp,23/08,18h55,1.23,2,sporting cp,,,pending
Liga Portugal,porto-casa pia,24/08,18h55,1.19,1,porto,,,pending
Liga Portugal,braga-avs futebol,24/08,21h25,1.27,1,braga,,,pending
L1 Uber Eats,journée 2 (9 matchs),22/08,20h39,1.15,2,,,,pending
Liga Portugal,estrela-alverca,25/08,21h10,1.78,1,estrela,,,pending
Serie A,genoa-lecce,23/08,18h25,1.71,1,genoa,,,pending
Liga Portugal,famalicão-gil vicente fc,24/08,16h25,1.71,1,famalicão,,,pending
